movie	title	title_eng	year	grade
10828	영구와 땡칠이	Yong-Gu And Daeng Chiri , 1989	1989	전체 관람가
10829	죽음의 카운트다운	D.O.A. , 1950		G
10830	죽음의 카운트다운	D.O.A. , 1988		청소년 관람불가
10831	블랙 에이리언	Metamorphosis: The Alien Factor , 1990	1991	15세 관람가
10832	밤 그리고 도시	Night And The City , 1992	1993	청소년 관람불가
10833	바보같은 자의 비극	La Tragedia Di Un Uomo Ridicolo , Tragedy Of A Ridiculous Man , 1981		PG
10834	깃발 없는 기수	깃발없는 旗手 , No Glory , 1979	1980	12세 관람가
10835	깊고 푸른 밤	Deep Blue Night , 1984	1985	청소년 관람불가
10836	아파치	Apache , 1954	2005	NR
10837	베를린 리포트	Berlin Report , 1991	1991	청소년 관람불가
10838	미스터 시커모어	Mr. Sycamore , 1974		NR
10839	부활의 날	復活の日: Day Of Ressurection , 1980		PG
10840	꿈	Dream , 1955	1955	12세 관람가
10841	꿈	Dream , 1990	1990	12세 관람가
10842	변강쇠 2	1987	1987	청소년 관람불가
10843	칠수와 만수	Chil-su And Man-su , 1988	1988	15세 관람가
10844	캣 피플	Katzenmenschen , Cat People , 1982		청소년 관람불가
10845	프럼버	The Plumber , 1979		
10846	블루 하트	Blue Heart , 1987	1987	전체 관람가
10847	쿼바디스	Quo Vadis , 1951	1986	12세 관람가
10848	타잔과 잃어버린 탐험대	Tarzan And The Lost Safari , 1957	1958	NR
10849	타잔 - 엘모 린콘 편 3	The Adventures Of Tarzan , 1921		NR
10850	마지막 사랑	The Sheltering Sky , 1990	1995	청소년 관람불가
10851	특경도룡	特警屠龍 , Tiger Cage , 1988	2014	15세 관람가
10852	영웅문	楊過與小龍女: The Little Dragon Maiden , 1982		NR
10853	천국으로 가는 장의사	A Rage In Harlem , 1991	1992	청소년 관람불가
10854	새	Alfred Hitchcock's The Birds , The Birds , 1963	1966	15세 관람가
10855	영 몬스터	Frankenstein: The College Years , 1991		12세 관람가
10856	죽음의 표적	Marked For Death , 1990	1991	청소년 관람불가
10857	칼리굴라	Caligola , Caligula , 1979	1991	R
10858	성프란체스코	Fratello Sole Sorella Luna , Brother Sun, Sister Moon , 1973		15세 관람가
10859	택시 블루스	Taksi-Blyuz , Taxi Blues , 1990		청소년 관람불가
10860	비둘기가 날 때	Flight Of The Doves , 1971		NR
10861	바다는 보고 있었다	海は見ていた , The Sea Is Watching , 2002		R
10862	선샤인 보이	The Sunshine Boys , 1975		PG
10863	80일간의 세계일주	Around The World In Eighty Days , 1956		G
10864	브링크 도난 사건	The Brink's Job , 1978		PG
10865	비공개	Guilty by Suspicion , 1991	1992	청소년 관람불가
10866	부메랑	Boomerang , 1992	1992	청소년 관람불가
10867	밤	La Notte , The Night , 1961		15세 관람가
10868	사랑 사기꾼	Opportunity Knocks , 1990		15세 관람가
10869	더블 반담	Double Impact , 1991	1991	청소년 관람불가
10870	셜록홈즈 - 살인의 전주곡	Dressed To Kill , Sherlock Holmes and Dressed to Kill , 1946		
10871	드레스드 투 킬	Vestida para matar , Dressed To Kill , 1980	1984	청소년 관람불가
10872	모스키토 코스트	The Mosquito Coast , 1986	1990	PG
10873	발지 대전투	Battle Of The Bulge , 1965		NR
10874	베로니카의 이중 생활	La double vie de Veronique , The Double Life of Veronique , 1991	2016	청소년 관람불가
10875	매혹당한 사람들	The Beguiled , 1971		R
10876	사랑은 파도를 헤치고	Now And Forever , 1983		R
10877	종횡사해	縱橫四海 , Once A Thief , 1991	2015	15세 관람가
10878	대열차 강도	The Great Train Robbery , 1903		NR
10879	내일을 향해 달려라	Tell Them Willie Boy Is Here , 1969		PG
10880	와일드 오키드	Wild Orchid , 1990	1990	청소년 관람불가
10881	내 인생의 남자	L'Homme De Ma Vie , The Man Of My Life , 1992	1992	청소년 관람불가
10882	헨리 5세	Henry V , 1989	1992	12세 관람가
10883	대열병	大閱兵 , The Big Parade , 1985		NR
10884	더블 테이크	Double Take , 2001		15세 관람가
10885	물 위를 걷는 여자	The Woman Who Walks On Water , 1990	1990	청소년 관람불가
10886	베이비 붐	Baby Boom , 1987		PG
10887	솔저 스토리	A Soldier's Story , 1984		15세 관람가
10888	프렌치 커넥션	The French Connection , 1971		청소년 관람불가
10889	프렌치 커넥션 2	The French Connection II , 1975		청소년 관람불가
10890	가면 속의 아리아	Le Maitre De Musique , The Music Teacher , 1989		15세 관람가
10891	깜보	Kam-Bo , 1986	1986	청소년 관람불가
10892	엘리스는 이제 여기 살지 않는다	Alice Doesn't Live Here Anymore , 1974		PG
10893	괴물의 신부	Bride Of The Monster , 1955		NR
10894	흐트러진 구름	乱れ雲 , Scattered Clouds , 1967		
10895	피부 깊숙이	Skin Deep , 1989	1989	청소년 관람불가
10896	엠마뉴엘 3 - 굿바이 엠마뉴엘	Goodbye Emmanuelle , 1977	1990	청소년 관람불가
10897	파리의 아메리카인	An American In Paris , 1951		12세 관람가
10898	나일 살인사건	Death On The Nile , 1978	1981	PG
10899	미로 속의 함정	Enigma , 1983		NR
10900	개그맨	Gagman , 1988	1989	15세 관람가
10901	깊은 밤 깊은 곳에	The Other Side Of Midnight , 1977	1987	청소년 관람불가
10902	러브 러브	Han Hee-jak's Love Stories , 1991		청소년 관람불가
10903	과학자의 길	The Story of Louis Pasteur , 1936		NR
10904	긴 여로, 짧은 행복	The Long Journay Home , 1987		
10905	개인 교수 2	The Big Bet , 1985	1990	청소년 관람불가
10906	깨어진 꿈	Bir Kirik Bebek , 1987		NR
10907	비너스	Meeting Venus , 1991		PG-13
10908	필사의 스턴트 작전	Stunts Unlimited , 1980		
10909	위험한 정사	Fatal Attraction , 1987	1990	청소년 관람불가
10910	레이디 인 블랙	Senza Scrupoli , 1985	1986	NR
10911	학살의 천사	El Angel Exterminador , The Exterminating Angel , 1962		NR
10912	8번가의 기적	Batteries Not Included , 1987	1989	전체 관람가
10913	새벽의 출격	The Dawn Patrol , 1930		NR
10914	볼로뉴 숲의 여인들	Les Dames Du Bois De Boulogne , The Ladies Of The Bois De Boulogne , 1945		15세 관람가
10915	바람과 라이온	The Wind And The Lion , 1975	1976	PG
10916	라벤더 힐 몹	The Lavender Hill Mob , 1951		NR
10917	전화로만 끝내 주세요	Intimate Stranger , 1992	1992	청소년 관람불가
10918	브레이킹 2	Breakin' 2: Electric Boogaloo , 1984		PG
10919	피고인	The Accused , 1988	1989	청소년 관람불가
10920	나의 밤은 당신의 낮보다 아름답다	Mes Nuits Sont Plus Belles Que Vos Jours , My Night Is More Beautiful Than Your Day , 1989	1990	청소년 관람불가
10921	아제 아제 바라아제	Come, Come, Come Upward , 1989	1989	15세 관람가
10922	고령가 소년 살인사건	牯嶺街少年殺人事件 , A Brighter Summer Day , 1991	2017	15세 관람가
10923	뻘	1991	1991	청소년 관람불가
10924	세계사	History Of The World: Part I , 1981		R
10925	승리의 전쟁	Heartbreak Ridge , 1986		청소년 관람불가
10926	90 벌레먹은 장미	1990	1990	청소년 관람불가
10927	우드스탁: 사랑과 평화의 3일	Woodstock , 1970		
10928	공포 속의 여행	Journey Into Fear , 1942		NR
10929	따귀 일곱대	Seven Slaps On The Face , 1987	1987	15세 관람가
10930	브로드웨이의 대니 로즈	Broadway Danny Rose , 1984		PG
10931	공작왕	孔雀王子 , Peacock Prince , 1988	2014	NR
10932	뼁뽈로의 여행	Le Voyage A Paimpol , Voyage To Paimpol , 1985		NR
10933	새앙쥐 상륙 작전	1989	1989	전체 관람가
10934	비너스의 여름시	1991	1991	청소년 관람불가
10935	로드 하우스	Road House , 1989	1990	청소년 관람불가
10936	가위손	Edward Scissorhands , 1990	2014	15세 관람가
10937	위기의 여자	1987	1987	청소년 관람불가
10938	피셔 킹	The Fisher King , 1991	1993	청소년 관람불가
10939	원 + 씩스	Man Of The Year , Home Eroticus , 1971	1988	NR
10940	베어	L'Ours , The Bear , 1988	1992	전체 관람가
10941	누가 로져 래빗을 모함했나	Who Framed Roger Rabbit , 1988	1990	12세 관람가
10942	대야망	The Blue Max , 1966		NR
10943	백설공주	Snow White , 1916		NR
10944	져지 걸	Jersey Girl , 1992	1992	15세 관람가
10945	밀드레드 피어스	Mildred Pierce , 1945		15세 관람가
10946	공룡 선생	공룡 先生: Dinosaur Teacher , 1992	1992	전체 관람가
10947	카르멘	Carmen , 1983	1990	청소년 관람불가
10948	라쇼몽	羅生門 , In The Woods , 1950		NR
10949	마르세이유 탈출	The Marseille Contract , The Destructors , 1974		PG
10950	마지막 전투	Le Dernier Combat , The Last Battle , 1983	2000	15세 관람가
10951	폭소 감방	Stir Crazy , 1980		R
10952	목사님 만세	The North Avenue Irregulars , 1979		NR
10953	마루타	黑太陽 731: Men Behind The Sun , The Devil 731 , 1988	1990	NR
10954	낙화유수	1927	1927	NR
10955	투 문 정션	Two Moon Junction , 1988	1988	청소년 관람불가
10956	겨울의 라이온	The Lion In Winter , 1968		PG
10957				
10958	맨 투 맨	Blame It On The Night , 1984		전체 관람가
10959	아이드 래더 비 리치	I'd Rather Be Rich , 1964		NR
10960	캣 벌루	Cat Ballou , 1965		NR
10961	핑크빛 소동	Seems Like Old Times , 1980		PG
10962	블레이드 러너	Blade Runner , 1982	2018	15세 관람가
10963	가미가제	Kamikaze , 1960		청소년 관람불가
10964	섹스 거짓말 그리고 비디오테이프	Sex, Lies, And Videotape , 1989	1990	청소년 관람불가
10965	전선 위의 참새	Bird On A Wire , 1990	1990	PG-13
10966	할로윈	Halloween , 1978		청소년 관람불가
10967	할로윈 2 - 저주받은 병실	Halloween II , 1981		청소년 관람불가
10968	할로윈 3	Halloween III: Season Of The Witch , 1983		청소년 관람불가
10969	할로윈 4	Halloween 4: The Return Of Michael Myers , 1988		15세 관람가
10970	원스 어폰 어 타임 인 아메리카	Once Upon A Time In America , 1984	2015	청소년 관람불가
10971	블루 스틸	Blue Steel , 1990	1990	청소년 관람불가
10972	한니발	Annibale , Hanibal , 1959	1961	NR
10973	리애니메이터	Re-Animator , 1985		청소년 관람불가
10974	쥬리아	Der Liebesschuler , Wolfgaug Bauer's Julia , 1974	1988	NR
10975	킹콩 2	King Kong Lives , 1986	1986	PG
10976	라인의 감시	Watch On The Rhine , 1943	1946	NR
10977	블루 스틸	Blue Steel , 1934		NR
10978	학창 보고서	1987	1987	NR
10979	비틀즈: 하드 데이즈 나이트	A Hard Day's Night , 1964	2016	전체 관람가
10980	분노의 역류	Backdraft , 1991	1991	15세 관람가
10981	하바나	Havana , 1990	1991	청소년 관람불가
10982	프랑스에서의 13일	Grenoble , 13 Jours En France , 1968	1970	
10983	사랑이 머무는 곳에	Ice Castles , 1978	1979	PG
10984	전략 공군 사령부	Stragetic Air Command , 1955		15세 관람가
10985	할리와 말보로 맨	Harley Davidson And The Marlboro Man , 1991	1991	청소년 관람불가
10986	달빛 아래서	Moonlighting , Schwarzarbeit , 1982		PG
10987	하오의 연정	Love In The Afternoon , 1957		12세 관람가
10988	파리의 여인	A Woman Of Paris , 1923	2015	NR
10989	핑크빛 연인	Pretty In Pink , 1986		15세 관람가
10990				
10991	핵전략 사령부	Fail-Safe , 1964		NR
10992	파리의 야화	La Chica Del Molino Rojo , The Girl From Red Cabaret , 1973		NR
10993	톰 혼	Tom Horn , 1980		R
10994	19번째 남자	Bull Durham , 1988	1990	청소년 관람불가
10995	공포의 여정	Journey Into Fear , 1975		PG
10996	버스틴 루즈	Bustin' Loose , 1981		R
10997	블랙 엔젤	Mausoleum , 1983		청소년 관람불가
10998	폭주 기관차	Runaway Train , 1985	1989	15세 관람가
10999	프랑켄슈타인	Frankenstein , 1931		NR
