people	korean	original
15368	크리스틴 하워스	Kristine Howarth
15369	조 벨처	Joe Belcher
15370	실베스터 맥코이	Sylvester McCoy
15371	테디 터너	Teddy Turner
15372	토니 헤이가스	Tony Haygarth
15373	재닌 더비츠키	Janine Duvitski
15374	잔 프란시스	Jan Francis
15375	케이트 넬리건	Kate Nelligan
15376	알린 글렌카	Arlene Golonka
15377	클락 브랜든	Clark Brandon
15378	브루스 바우어	Bruce Bauer
15379	암버 데니스 오스틴	Amber Denyse Austin
15380	매트 라탄지	Matt Lattanzi
15381	캐런 카야	Caren Kaye
15383	존 P. 라이언	John P. Ryan
15391	발렌티나 우사코바	Valentina Ushakova
15392	유리 바실예브	Yuri Vasilyev
15393	올레그 타바코브	Oleg Tabakov
15394	베라 알렌토바	Vera Alentova
15395	이리나 무라브요바	Irina Muravyova
15396	알렉세이 바탈로브	Aleksei Batalov
15400	스탠 드라고티	Stan Dragoti
15407	앤 질리안	Ann Jillian
15424	브리타 필립스	Britta Phillips
15425	스콧 코페이	Scott Coffey
15426	저스틴 베이트먼	Justine Bateman
15427	조안 프리먼	Joan Freeman
15432	미첼 본	Michel Beaune
15433	엘리자베스 마르고니	Elisabeth Margoni
15434	마리-크리스틴 데스쿠아르드	Marie-Christine Descouard
15435	시리엘 클레어	Cyrielle Claire
15441	조르쥬 로트너	Georges Lautner
15443	나딘 나보코브	Nadine Nabokov
15444	티사 패로우	Tisa Farrow
15445	장 가벙	Jean Gaven
15446	알도 레이	Aldo Ray
15447	레아 마사리	Lea Massari
15451	진옥련	
15456	마르셀 보주피	Marcel Bozzuffi
15457	줄리안 귀오마르	Julien Guiomar
15458	베르나르 프레송	Bernard Fresson
15459	조지스 게레	Georges Geret
15465	피에르 둑스	Pierre Dux
15468	이본느 브라이스랜드	Yvonne Bryceland
15469	스콧 윌슨	Scott Wilson
15470	프랑수아 페리어	Francois Perier
15476	린다 브릿지	Lynda Bridges
15477	스콧 델 아모	Scott Del Amo
15478	에디 아보스	Eddie Avoth
15479	피터 크룩	Peter Crook
15480	토니 키탠	Tawny Kitaen
15481	크레그 T. 루머	Craig T. Rumer
15487	볼루지	Boluzzi
15488	마리아 안토미에타	Maria Antomietta
15489	파멜라 빌로레시	Pamela Villoresi
15490	리차드 존슨	Richard Johnson
15491	헤리마노 드 구즈먼	Hermano De Guzman
15492	도밍고 란디코	Domingo Landicho
15493	벰볼 로코	Bembol Roco
15494	빌 커	Bill Kerr
15495	폴 손킬라	Paul Sonkkila
15496	노엘 페리어	Noel Ferrier
15501	레이디 프로릭 오브 벨베데일	Lady Frolic of Belvedale
15503	와이난드 유이스	Wynand Uys
15504	존 아퀴노	John Aquino
15505	커트 메이	Curt May
15506	피터 보이든	Peter Boyden
15511	아키 알레옹	Aki Aleong
15512	초이 창 윙	Choy Chang Wing
15513	마릴린 토쿠다	Marilyn Tokuda
15518	오토와 노부코	Nobuko Otowa
15526	폴레트 더보스	Paulette Dubost
15527	모리스 리쉬	Maurice Risch
15528	안드레아 페럴	Andrea Ferreol
15529	하인츠 베넨트	Heinz Bennent
15530	장 프와레	Jean Poiret
15531	네드 글래스	Ned Glass
15532	조지 샤키리스	George Chakiris
15533	러스 탬블린	Russ Tamblyn
15534	페르난다 토레스	Fernanda Torres
15535	달즈 팬 샤콘	Thales Pan Chacon
15543	짐 바쿠	Jim Backus
15544	베아트리스 마노브스키	Beatrice Manowski
15545	시거드 러흐만	Sigurd Rachmann
15546	엘마 윔즈	Elmar Wilms
15547	한스 마틴 스티어	Hans Martin Stier
15548	커트 보이스	Curt Bois
15549	오토 샌더	Otto Sander
15550	솔베이그 도마르틴	Solveig Dommartin
15551	미켈레 플라치도	Michele Placido
15553	패트리샤 가울	Patricia Gaul
15558	그레그 에델만	Gregg Edelman
15559	오수비	
15561	더글러스 몽고메리	Douglass Montgomery
15562	프란세스 디	Frances Dee
15563	헨리 스테펀슨	Henry Stephenson
15564	진 파커	Jean Parker
15565	에드나 메이 올리버	Edna May Oliver
15566	폴 루카스	Paul Lukas
15567	머리안 C. 쿠퍼	Merian C. Cooper
15571	마이크 던린	Mike Donlin
15572	글렌 카벤더	Glen Cavender
15573	프랭크 반스	Frank Barnes
15574	마리온 맥	Marion Mack
15577	콜비 체스터	Colby Chester
15578	토니 플라나	Tony Plana
15580	헬무트 단틴	Helmut Dantine
15586	세르게이 본다르추크	Sergei Bondarchuk
15588	도라 돌	Dora Doll
15590	나이젤 팔게이트	Nigel Falgate
15591	리처드 다 실바	Richard Da Silva
15592	브루스 베이론	Bruce Baron
15593	앨버트 우	Albert Au
15595	레지날드 오웬	Reginald Owen
15596	버지니아 브루스	Virginia Bruce
15597	패니 브라이스	Fanny Brice
15599	마이어나 로이	Myrna Loy
15600	윌리엄 파월	William Powell
15602	도리스 바우든	Dorris Bowdon
15603	찰리 그레이프	Charley Grapewin
15610	제시카 제임스	Jessica James
15611	린다 달로우	Linda Darlow
15618	리차드 에드먼	Richard Erdman
15619	하비 렘벡	Harvey Lembeck
15620	루이지 디베르티	Luigi Diberti
15621	프랑코 브랜시아롤리	Franco Branciaroli
15622	아마드 사하 앨런	Amad Saha Alan
15623	폴 만	Paul Mann
15624	레오나르드 프레이	Leonard Frey
15625	로사린드 해리스	Rosalind Harris
15626	노마 크레인	Norma Crane
15627	해리 벨라버	Harry Bellaver
15628	미키 쇼네시	Mickey Shaughnessy
15629	돈 키퍼	Don Keefer
15630	제리 하우스너	Jerry Hausner
15631	제임스 슬로이언	James Sloyan
15632	엘리자베스 몽고메리	Elizabeth Mongomery
15633	문희	
15634	달리아 디 라자로	Dalila Di Lazzaro
15635	다리아 니콜로디	Daria Nicolodi
15640	실바 코시나	Sylva Koscina
15641	커드 저진스	Curd Jurgens
15645	홀랜드 블랑쉬	Roland Blanche
15646	앤 알바로	Anne Alvaro
15647	보이체흐 스조니악	Wojciech Pszoniak
15648	한스 메이어	Hans Meyer
15654	한스 콘리드	Hans Conried
15655	호프 레인지	Hope Lange
15656	로버트 브레이	Robert Bray
15657	알렉산더 달시	Alexander D'Arcy
15658	데이비드 웨인	David Wayne
15659	베티 그레이블	Betty Grable
15665	베티 필드	Betty Field
15682	빌리 바티	BIlly Barty
15683	알리스 플레이튼	Alice Playten
15684	데이비드 베넨	David Bennent
15685	베로니카 웹	Veronica Webb
15686	티라 페렐	Tyra Ferrell
15688	윌리엄 레슬리	William Leslie
15689	필립 캐리	Philip Carey
15690	로버트 프란시스	Robert Francis
15694	카토 다이수케	Daisuke Kato
15697	피터 브로코	Peter Brocco
15698	로버트 쿠트	Robert Coote
15699	로버트 더글러스	Robert Douglas
15700	엘크 소머	Elke Sommer
15701	리오넬 제프리스	Lionel Jeffries
15702	린 프레더릭	Lynne Frederick
15703	루이스 스톤	Lewis Stone
15704	루이스 칼헌	Louis Calhern
15705	타이론 파워	Tyrone Power
15706	시몬 윌리엄스	Simon Williams
15707	제레미 켐프	Jeremy Kemp
15708	션 페런	Shawn Phelan
15709	마이클 챔피온	Michael Champion
15710	T.E. 러셀	T.E. Russell
15717	안젤린 볼	Angeline Ball
15718	브로나 갈라퍼	Bronagh Gallagher
15719	앤드류 스트롱	Andrew Strong
15720	로버트 아킨스	Robert Arkins
15727	페리 랑	Perry Lang
15728	스티브 포레스트	Steve Forrest
15729	스테이시 키치	Stacy Keach
15730	존 프레이드리치	John Freidrich
15732	셰릴 캠벨	Cheryl Campbell
15734	윌리스 부쉐이	Willis Bouchey
15735	리처드 섀넌	Richard Shannon
15736	찰스 맥그로우	Charles McGraw
15741	가번 오헐리히	Gavan O'Herlihy
15742	필 폰다카로	Phil Fondacaro
15746	레오나르드 테르모	Leonard Termo
15747	아리안	Ariane
15753	웬델 코리	Wendell Corey
15754	델마 리터	Thelma Ritter
15755	로버트 크레나	Robert Crenna
15756	질 아일랜드	Jill Ireland
15757	헬레나 칼리아니오츠	Helena Kallianiotes
15758	윌리엄 찰리	William Challee
15759	빌리 그린 부쉬	Billy Green Bush
15760	라멜지	Rammellzee
15761	대니 로슨	Danny Rosen
15762	세실라 스탁	Cecillia Stark
15763	에스터 벌린트	Eszter Balint
15764	헨리 오닐	Henry O'Neill
15765	리처드 크롬웰	Richard Cromwell
15766	마가렛 린제이	Margaret Lindsay
15770	조지 브렌트	George Brent
15774	조지 코	George Coe
15776	저스틴 헨리	Justin Henry
15782	조쉬 에반스	Josh Evans
15783	캐롤라인 카바	Caroline Kava
15786	에드 헐리히	Ed Herlihy
15789	산드라 버나드	Sandra Bernhard
15790	제리 루이스	Jerry Lewis
15791	애론 마틴	Aaron Martin
15792	저스틴 몬조	Justin Monjo
15793	간디 맥큰티어	Gandhi MacIntyre
15794	애나 카테리나	Anna Katerina
15795	데이비드 피플즈	David Webb Peoples
15796	해롤드 오블롱	Harold Oblong
15797	폴 윌리암스	Paul Williams
15798	제프리 코매너	Jeffrey Commanor
15799	아치 한	Archie Hahn
15800	윌리엄 핀리	William Finley
15810	폴 스코필드	Paul Scofield
15811	웬디 힐러	Wendy Hiller
15812	휴 말로우	Hugh Marlowe
15813	밥 패튼	Bob Patten
15815	존 켈로그	John Kellogg
15816	로버트 아서	Robert Arthur
15817	게리 메릴	Gary Merrill
15823	레이몬드 월번	Raymond Walburn
15824	더글러스 덤브릴	Douglass Dumbrille
15825	리오넬 스탠더	Lionel Stander
15830	테리 맥민	Teri McMinn
15831	윌리엄 베일	William Vail
15832	폴 A. 파테인	Paul A. Partain
15833	알렌 댄지거	Allen Danziger
15834	마릴린 번즈	Marilyn Burns
15842	다이안 실렌토	Diane Cilento
15845	조지 드바인	George Devine
15855	뉴네미안 퍼소프	Newnemian Persoff
15856	트레브 윌슨	Trev Wilson
15857	로버트 루폰	Robert LuPone
15858	존 코포디스	John Copodice
15859	데니스 버클리	Dennis Burkley
15865	빌 그레이엄	Bill Graham
15868	벤드 토버	Bernd Tauber
15869	마틴 세멀로지	Martin Semmelrogge
15870	허버터스 벵슈	Hubertus Bengsch
15871	허버트 그로네메이어	Herbert Gronemeyer
15872	클라우스 웨네먼	Klaus Wenneman
15879	G. 라허븐	G. Raghaven
15880	저그디쉬 레이	Jagdish Raay
15881	무라드	Murad
15882	페로즈 칸	Feroz Khan
15883	마크 데이너	Mark Dana
15884	조크 마호니	Jock Mahoney
15891	헬레나 마켈라	Helena Makela
15892	마르코 피오리니	Marco Fiorini
15893	쉐리 뷰캐넌	Sherry Buchanan
15894	앨런 보이드	Alan Boyd
15895	델리아 보카르도	Delia Boccardo
15897	로버트 게링거	Robert Gerringer
15901	패트릭 오닐	Patrick O'Neal
15902	브래드포드 딜만	Bradford Dillman
15903	디피에르	Depierre
15904	헨리 델라노이	Henri Delannoy
15905	블로에 베논	Bleuette Bernon
15906	빅토르 안드레	Victor Andre
15907	조르주 멜리에스	Georges Melies
15909	더글러스 레인	Douglas Rain
15910	케어 둘리	Keir Dullea
15911	브루노 팔콘	Bruno Falcon
15912	피니스 뉴본 3세	Phineas Newborn III
15913	벤 로케이	Ben Lokey
15914	마이클 챔버스	Michael Chambers
15915	아돌포 퀴노네스	Adolfo Quinones
15921	루신다 딕키	Lucinda Dickey
15922	알리스 허슨	Alice Hirson
15923	존 라로케트	John Larroquette
15935	윌프레드 하이드-화이트	Wilfred Hyde-White
15936	스탠리 할로웨이	Stanley Holloway
15940	빌 새들러	Bill Sadler
15948	윌리엄 샌더슨	William Sanderson
15949	리차드 재켈	Richard Jaeckel
15957	정낙희	
15958	안재석	
15959	제임스 노튼	James Naughton
15960	알랜 킹	Alan King
15963	로제타 르 누아르	Rosetta Le Noire
15964	말콤 자말 워너	Malcolm-Jamal Warner
15965	론 맥크라티	Ron McClarty
15969	에드 쉐린	Ed Sherin
15970	데스포 디아만티두	Despo Diamantidou
15971	미트소스 리귀소스	Mitsos Liguisos
15972	티토스 반디스	Titos Vandis
15973	조지 파운더스	George Foundas
15974	줄스 다신	Jules Dassin
15975	멜리나 메르쿠리	Melina Mercouri
15982	설지륜	
15987	토니 헨드라	Tony Hendra
15988	사라 보츠포드	Sara Botsford
15989	피터 마이클 고츠	Peter Michael Goetz
15996	아이린 리치	Irene Rich
15997	제스 스콧	Jesse Scott
15998	헤일 해밀턴	Hale Hamilton
15999	에드워드 브로피	Edward Brophy
16000	로스코 아테스	Roscoe Ates
16005	마샤 힌톤	Marcia Hinton
16006	콜린 해러티	Colleen Harrity
16007	베라 갤러거	Vera Gallagher
16008	모니카 안토누치	Monica Antonucci
16009	피터 코시마노	Peter Cosimano
16010	마리 버틀러	Mari Butler
16011	샤론 크리스토퍼	Sharon Christopher
16012	질 라슨	Jill Larson
16013	레이몬드 제롬	Raymond Gerome
16014	레이몬드 버	Raymond Buhr
16015	카렌 블란구에르넌	Karen Blanguernon
16016	채금	
16017	가일정	
16018	양려음	Yang Li Yin
16019	뇌덕남	
16023	칼 마이클 보글러	Karl Michael Vogler
16028	리차드 뮌치	Richard Munch
16029	조던 챠니	Jordan Charney
16030	도널드 해론	Donald Harron
16031	스티븐 엘리엇	Stephen Elliott
16041	존 콜리코스	John Colicos
16042	잉가 길	Inga Gill
16043	닐스 포페	Nils Poppe
16044	벵 에커로	Bengt Ekerot
16045	거너 본스트랜드	Gunnar Bjornstrand
16050	매 클라크	Mae Clarke
16051	조지 E. 스톤	George E. Stone
16052	월터 캐틀렛	Walter Catlett
16053	에드워드 에버렛 홀튼	Edward Everett Horton
16054	메리 브라이언	Mary Brian
16055	팻 오브라이언	Pat O'Brien
16067	웨인 모리스	Wayne Morris
16075	쉬러 앨런	Sheila Allen
16091	다니엘 리처	Daniel Richter
16092	윌리엄 실베스터	William Sylvester
16093	린 마리 스튜어트	Lynne Marie Stewart
16102	토머스 뱁티스트	Thomas Baptiste
16103	프랭크 개틀리프	Frank Gatliff
16105	니나 포크	Nina Foch
16108	오브리 리처즈	Aubrey Richards
16109	수 로이드	Sue Lloyd
16110	나이젤 그린	Nigel Green
16111	윌리엄 레드필드	William Redfield
16119	제이슨 구드	Jason Gould
16121	비니 아르지로	Vinny Argiro
16122	앨버트 맥클린	Albert Macklin
16123	필 브락	Phil Brock
16124	피터 코완코	Peter Kowanko
16125	마이클 E. 나이트	Michael E. Knight
16126	톰 맥러플린	Tom McLoughlin
16132	진 시몬즈	Gene Simmons
16133	필립 델라이그	Philippe Delaigue
16134	마리-루이스 에빌리	Marie-Louise Ebeli
16135	제네비에브 보젤리즈	Genevieve Vauzeilles
16136	장 더스	Jean Daste
16137	미셸 갈라브루	Michel Galabru
16138	플로르 피츠제럴드	Flore Fitzgerald
16146	도널드 호튼	Donald Hotton
16149	피터 도너	Peter Donat
16150	제임스 햄톤	James Hampton
16152	제니 루멧	Jenny Lumet
16153	로버트 우슬러	Robert Wussler
16154	조셉 로비	Joseph Robbie
16155	빅토르 캠포스	Victor Campos
16156	베킴 페미우	Bekim Fehmiu
16157	스티븐 키츠	Steven Keats
16158	프리츠 위버	Fritz Weaver
16159	마르트 켈러	Marthe Keller
16165	존 카바나흐	John Kavanagh
16166	도날 맥캔	Donal McCann
16167	오토 고텔	Otto Gottell
16168	오스카 고텔	Oscar Gottell
16169	실비아 아쉬톤	Sylvia Ashton
16170	체스터 콘클린	Chester Conklin
16171	진 허숄트	Jean Hersholt
16172	자수 피츠	Zasu Pitts
16173	깁슨 고우랜드	Gibson Gowland
16177	렉스 잉그램	Rex Ingram
16179	에리히 폰 슈트로하임	Erich von Stroheim
16182	다니엘 해리스	Danielle Harris
16183	테일러 네그론	Taylor Negron
16184	마리 헬렌 브레일	Marie Helene Breillat
16185	루시 마르퀑	Luce Marquand
16186	캐서린 알레그리	Catherine Allegret
16187	기트 마그리니	Gitt Magrini
16188	지오바나 갈레티	Giovanna Galletti
16189	마리아 미치	Maria Michi
16190	마리아 슈나이더	Maria Schneider
16191	파블 랜도브스키	Pavel Landovsky
16192	얼랜드 조셉슨	Erland Josephson
16193	데릭 드 린트	Derek De Lint
16194	지노 세르비	Gino Cervi
16195	메이 브리트	May Britt
16196	바바라 루쉬	Barbara Rush
16197	딘 마틴	Dean Martin
16202	이안 울프	Ian Wolfe
16203	헨리 다니엘	Henry Daniell
16204	엘자 란체스터	Elsa Lanchester
16206	홀리 니어	Holly Near
16207	안소니 클락	Anthony Clark
16208	리차드 파네비안코	Richard Panebianco
16216	브래든 맥도널드	Braden MacDonald
16217	테리 웰스	Terry Wells
16218	게리 룰	Gary Rule
16219	에드워드 터프트	Edward Taft
16220	앤드류 터프트	Andrew Taft
16222	다누엘 피폴리	Danuel Pipoly
16223	크리스 퍼	Chris Furrh
16227	해리 훅	Harry Hook
16228	조안나 락우드	Joanna Lockwood
16229	존 슈나이더	John Schneider
16230	로버트 하퍼	Robert Harper
16231	콜레트 맨	Colette Mann
16232	앤드류 클락	Andrew Clarke
16233	존 르웰린 막시	John Llewellyn Moxey
16240	벤하드 위키	Bernhard Wicki
16241	헌터 카슨	Hunter Carson
16242	오로르 클레망	Aurore Clement
16243	존 피어스	John Pearce
16245	시드 헤이그	Sid Haig
16246	마샬 에프론	Marshall Efron
16247	매기 맥오미	Maggie McOmie
16248	돈 페드로 콜리	Don Pedro Colley
16249	주리혜	
16250	소비아	
16252	연현철	
16253	다희아	
16254	석도원	
16255	레아 핀센트	Leah Pinsent
16256	그리핀 오닐	Griffin O'Neal
16257	켄 올란드	Ken Olandt
16258	마이크 노매드	Mike Nomad
16259	톰 히튼	Tom Heaton
16260	데보라 굿리치	Deborah Goodrich
16261	데보라 포맨	Deborah Foreman
16262	로이드 베리	Lloyd Berry
16263	팻 바로우	Pat Barlow
16264	제이 베이커	Jay Baker
16265	프레드 월턴	Fred Walton
16266	토미 총	Tommy Chong
16267	리 스트라스버그	Lee Strasberg
16268	존 포사이스	John Forsythe
16269	주우조	
16271	매 메르세	Mae Mercer
16273	존 미첨	John Mitchum
16274	레니 샌토니	Reni Santoni
16275	해리 가르디노	Harry Guardino
16276	앨버트 팝웰	Albert Popwell
16280	킵 니벤	Kip Niven
16281	데베런 브룩워터	DeVeren Brookwalter
16282	타인 데일리	Tyne Daly
16283	존 크로포드	John Crawford
16285	마크 케이런	Mark Keyloun
16286	마이클 커리	Michael Currie
16287	폴 드레이크	Paul Drake
16291	브라이언 제임스	Brion James
16293	에반 C. 킴	Evan C. Kim
16299	우타 하겐	Uta Hagen
16300	자비트 메메도브	Zabit Memedov
16301	시노리카 트릅코바	Sinolicka Trpkova
16302	허스니자 하시모빅	Husnija Hasimovic
16303	루비카 아조빅	Ljubica Adzovic
16304	다보아 더모빅	Davor Dujmovic
16307	이나 로저스	Ina Rogers
16308	바렛 쿠퍼	Barrett Cooper
16309	수잔 아거	Suzanne Ager
16310	모니크 페런트	Monique Parent
16311	리키 브랜도	Rikki Brando
16312	짐 행크스	Jim Hanks
16316	P.J. 솔즈	P.J. Soles
16320	마이클 C. 가인	Michael C. Gwynne
16321	존 셕	John Schuck
16330	로버트 러슬러	Robert Rusler
16331	킴 마이어스	Kim Myers
16332	마크 패튼	Mark Patton
16341	페넬로피 서드로우	Penelope Sudrow
16342	낸 마틴	Nan Martin
16343	로드니 이스트만	Rodney Eastman
16344	이라 하이든	Ira Heiden
16346	프리실라 포인터	Priscilla Pointer
16352	브룩 번디	Brooke Bundy
16353	튜즈데이 나이트	Tuesday Knight
16354	안드라스 존스	Andras Jones
16355	대니 하셀	Danny Hasel
16357	발로리 암스트롱	Valorie Armstrong
16360	대니 하셀	Danny Hassel
16361	켈리 조 민터	Kelly Jo Minter
16362	리사 윌콕스	Lisa Wilcox
16363	카산드라 레이첼 프렐	Cassandra Rachel Frel
16364	엘리너 도나휴	Elinor Donahue
16365	로잔느 바	Roseanne
16366	숀 그린블랫	Shon Greenblatt
16367	레즐리 딘	Lezlie Deane
16368	리사 제인	Lisa Zane
16370	레이첼 탈라레이	Rachel Talalay
16376	게리 그럽스	Gary Grubbs
16377	웨인 나이트	Wayne Knight
16378	제이 O. 샌더스	Jay O. Sanders
16379	비타 포니악	Beata Pozniak
16381	벤자민 모션	Benjamin Moution
16382	레이라니 사렐	Leilani Sarelle
16383	질스 펠레티어	Gilles Pelletier
16384	로버트 르페이지	Robert Lepage
16385	레미 지라르드	Remy Girard
16386	조한느 마리 트렘블레이	Johanne-Marie Tremblay
16387	캐서린 윌케닝	Catherine Wilkening
16388	발레리오 바르톨레쉬	Valerio Bartoleschi
16389	알도 그로티	Aldo Grotti
16390	릴리 페임스	Lili Rheims
16391	리타 레누아	Rita Renoir
16392	제니아 발데리	Xenia Valderi
16393	카를로 치오네티	Carlo Chionetti
16394	피터 베어드	Peter Baird
16396	팀 로즈	Tim Rose
16397	메리 웰즈	Mary Wells
16398	스티브 슬립	Steve Sleap
16408	피터 윌리엄스	Peter Williams
16417	램 존 홀더	Ram John Holder
16419	페이스 켄트	Faith Kent
16421	패트릭 카바나	Patrick Kavanagh
16426	팔리 베어	Parley Baer
16443	밥 스웨임	Bob Swaim
16444	글렌 코한	Glenn Kohan
16445	엘바 조셉슨	Elva Josephson
16447	마티 펠드먼	Marty Feldman
16448	존 벤슨	John Benson
16449	스티븐 체이스	Alden 'Stephen' Chase
16451	얼 로우	Earl Rowe
16452	아네타 코소	Aneta Corsaut
16455	얼빈 S. 이워스 주니어	Irvin S. Yeaworth Jr.
16458	허관영	
16459	마가렛 소피 스타인	Margaret Sophie Stein
16460	그레이스 자브리스키	Grace Zabriskie
16461	제시 토머스	Jessie Thomas
16463	트레사 휴즈	Tresa Hughes
16464	앨버트 허그	Albert Hague
16465	보이드 게인즈	Boyd Gaines
16466	안토니아 프란세시	Antonia Franceschi
16467	로라 딘	Laura Dean
16468	리 커레리	Lee Curreri
16469	아이린 카라	Irene Cara
16470	키아라 카셀리	Chiara Caselli
16471	로드니 하비	Rodney Harvey
16472	윌리암 리처트	William Richert
16473	캐리 오티스	Carre Otis
16474	돈 윌슨	Don Wilson
16475	리처드 알랜	Richard Allan
16476	데니스 오데	Denis O'Dea
16477	막스 쇼워터	Max Showalter
16478	진 피터스	Jean Peters
16479	이판용	
16480	신원섭	
16481	황해진	
16482	고수명	
16483	배용균	
16484	제이미 파	Jamie Farr
16485	새미 데이비스 주니어	Sammy Davis Jr.
16490	디나 메릴	Dina Merrill
16491	재키 매슨	Jackie Mason
16492	폴 바르텔	Paul Bartel
16493	마샤 워필드	Marsha Warfield
16494	브라이언 맥나마라	Brian McNamara
16495	조나단 실버맨	Jonathan Silverman
16497	알랜 아커쉬	Allan Arkush
16498	루스 넬슨	Ruth Nelson
16500	앤 메라	Anne Meara
16513	지미 레이 윅스	Jimmie Ray Weeks
16519	레오 로시	Leo Rossi
16525	로버트 하디	Robert Hardy
16526	리처드 브라이어스	Richard Briers
16541	데이빗 알란 그리어	David Alan Grier
16549	아서 말레	Arthur Malet
16552	베로니카 카트라이트	Veronica Cartwright
16553	킴 스탠리	Kim Stanley
16563	오드리 크리스티	Audrey Christie
16564	낸시 코박	Nancy Kovack
16565	수 앤 랭돈	Sue Ane Langdon
16566	도나 더글라스	Donna Douglas
16567	프레더릭 드 코르도바	Frederick De Cordova
16568	그랜트 미첼	Grant Mitchell
16569	랠프 던	Ralph Dunn
16570	클라이드 필모아	Clyde Fillmore
16572	도로시 애덤스	Dorothy Adams
16573	빈센트 프라이스	Vincent Price
16574	클리프톤 웹	Clifton Webb
16575	진 티어니	Gene Tierney
16582	지아니 루소	Gianni Russo
16603	에스텔 파르손즈	Estelle Parsons
16604	딕 반 다이크	Dick Van Dyke
16605	맨디 파틴킨	Mandy Patinkin
16609	한은진	
16630	잉 루오쳉	Ruocheng Ying
16632	로버트 올리버리	Robert Oliveri
16633	에이미 오닐	Amy O'Neill
16634	크리스틴 서더랜드	Kristine Sutherland
16635	마샤 스트라스먼	Marcia Strassman
16636	맷 플레워	Matt Frewer
16637	엘렌 슈와어즈	Ellen Schwiers
16638	애나 헨켈	Anna Henkel
16639	스테파냐 카시니	Stefania Casini
16640	웨너 브런즈	Werner Bruhns
16641	로라 베티	Laura Betti
16642	도미니크 샌다	Dominique Sanda
16643	프란세스카 버티니	Francesca Bertini
16644	클린트 리치	Clint Ritchie
16645	제나 로우랜즈	Gena Rowlands
16646	데이비드 밀러	David Miller
16647	베리 제너	Barry Jenner
16648	로리 워터스	Laurie Walters
16649	조셉 나서	Joseph Nasser
16650	샌디 맥펙	Sandy McPeak
16651	엘리 단커	Eli Danker
16653	에니드 마키	Enid Markey
16654	엘모 링컨	Elmo Lincoln
16655	스콧 시드니	Scott Sidney
16657	킴 그리스트	Kim Greist
16659	펠릭스 아일머	Felix Aylmer
16660	엠린 윌리엄스	Emlyn Williams
16661	리처드 소프	Richard Thorpe
16668	웬디 필립스	Wendy Phillips
16669	마를렌 조베르	Marlene Jobert
16670	베르나르 블리에	Bernard Blier
16671	패트릭 모워	Patrick Mower
16672	딕 클레먼트	Dick Clement
16674	낸시 갓프레이	Nancy Godfrey
16675	밀레나 드라빅	Milena Dravic
16676	베티 돗슨	Betty Dodson
16677	재키 커티스	Jackie Curtis
16678	짐 버클리	Jim Buckley
16679	미오드럭 앤드릭	Miodrag Andric
16680	멜 존슨 주니어	Mel Johnson Jr.
16682	트레이시 넬슨	Tracy Nelson
16683	리틀 리처드	Little Richard
16706	안혜리	
16708	벤 바르보	Ben Bravo
16709	도나 볼드윈	Dona Baldwin
16710	하워드 랙스데일	Howard Ragsdale
16711	존 워맥 주니어	John Womack Jr.
16712	찰스 피츠패트릭	Charles Fitzpatrick
16713	게일 드렐켈드	Gail Threlkeld
16714	브라이언 몽고메리	Bryan Montgomery
16716	게리 리틀존	Gary Littlejohn
16717	라몬 비어리	Ramon Bieri
16718	오스카 베르너	Oskar Werner
16719	리스 데라메어	Lise Delamare
16720	헨리 귀솔	Henri Guisol
16721	안톤 월브룩	Anton Walbrook
16722	마르틴 캐롤	Martine Carol
16728	케이트 바우어	Cate Bauer
16729	마사 웬트워스	Martha Wentworth
16730	베티 루 거슨	Betty Lou Gerson
16731	J. 팻 오말리	J. Pat O'Malley
16732	클라이드 제로니미	Clyde Geronimi
16736	김구미자	
16737	이황림	
16738	마이클 젤니커	Michael Zelniker
16739	제퍼슨 머핀	Jefferson Mappin
16740	아니 아키먼	Arnie Achtman
16741	가이 샌비도	Guy Sanvido
16742	조지 툴리아토스	George Touliatos
16743	도널드 쉐비브	Donald Shebib
16745	스티브 스트롱	Steve Strong
16746	아쿠슐라 셀레이야	Akushula Selayah
16747	존 필립 로우	John Phillip Law
16748	마일즈 오키프	Miles O'Keeffe
16749	보 데렉	Bo Derek
16750	로버트 블루멘펠드	Robert Blumenfeld
16751	쟝 삐에흐 비쏭	Jean-Pierre Bisson
16752	미첼 오몬트	Michel Aumont
16753	닥터 루스 웨스데이머	Dr. Ruth Westheimer
16754	다니엘 비뉴	Daniel Vigne
16756	하유미	
16757	이유진	
16758	마틸다 메이	Mathilda May
16759	이안 프링글	Ian Pringle
16761	트윙크 카플랜	Twink Caplan
16762	닐 이스라엘	Neal Israel
16768	호기 카마이클	Hoagy Carmichael
16769	버진라 마요	Virginla Mayo
16770	프레더릭 마치	Frederic March
16777	석래명	
16778	크리스틴 카우프먼	Christine Kaufmann
16779	고든 헤슬러	Gordon Hessler
16781	더들리 디거스	Dudley Digges
16782	에디 퀼런	Eddie Quillan
16783	허버트 문딘	Herbert Mundin
16784	프랑코트 톤	Franchot Tone
16785	필립 마틴 브라운	Philip Martin Brown
16786	버나드 힐	Bernard Hill
16787	필립 데이비스	Philip Davis
16788	줄리아노 젬마	Giuliano Gemma
16790	움베르토 렌지	Umberto Lenzi
16791	레이 러브락	Ray Lovelock
16792	빅터 발베르드	Victor Valverde
16793	빅터 퀴카	Victor Cuica
16794	안토니오 가메로	Antonio Gamero
16795	루이스 프렌데스	Luis Prendes
